Camera_ID,type,Country,State,City,Latitude,Longtitude,Resolution_w,Resolution_h,Ip,Port,Image_path,Video_path,Snapshot_url,m3u8_url,
5b0cfb3b45bb0c0004277ef5,ip,AR,Null,Buenos Aires,-34.5875,-58.6725,,,190.220.3.108,80,,/,Null,Null,
5b0cfb3e45bb0c0004277ef8,ip,GB,Null,Plymouth,50.3761,-4.1632,800,600,192.171.163.3,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfb4045bb0c0004277efa,ip,US,TX,Houston,29.8301,-95.4739,,,192.185.88.80,80,,/,Null,Null,
5b0cfb4d45bb0c0004277f07,ip,SE,Null,,62,15,1280,720,194.103.218.15,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfb4f45bb0c0004277f09,ip,SE,Null,Vertorne,66.3833,23.6667,640,480,194.117.188.138,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfb5a45bb0c0004277f14,ip,FI,Null,Ivalo,68.65,27.6,384,288,194.89.9.86,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfb5b45bb0c0004277f15,ip,DE,Null,Schmalkalden,50.7167,10.45,,,194.94.31.202,80,,/,Null,Null,
5b0cfb6045bb0c0004277f1a,ip,SE,Null,Pajala,67.2,23.3667,640,480,195.196.36.242,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfb6145bb0c0004277f1b,ip,PL,Null,,52,20,384,288,195.200.199.8,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi,Null,Null,
5b0cfb6845bb0c0004277f21,ip,AT,Null,Salzburg,47.8,13.0333,2048,500,195.70.120.133,80,/record/current.jpg,/cgi-bin/faststream.jpg,Null,Null,
