Camera_ID,Country,State,City,Latitude,Longtitude,Resolution_w,Resolution_h,Ip,Port,Image_path,Video_path
5b0d053545bb0c00042788e2,IT,Null,,42.8333,12.8333,640,480,85.43.154.40,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d04d145bb0c0004278883,NO,Null,Kopervik,59.2833,5.3,480,640,82.134.72.195,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d04d045bb0c0004278882,NO,Null,Kopervik,59.2833,5.3,480,640,82.134.72.194,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d04a045bb0c0004278851,AT,Null,,47.3333,13.3333,576,704,80.75.240.35,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d048e45bb0c0004278841,GB,Null,,51.5,-0.13,240,320,80.229.149.26,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d047945bb0c000427882c,FR,Null,,48.86,2.35,480,640,80.13.189.135,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d046245bb0c0004278818,FI,Null,Mikkeli,61.6833,27.25,450,800,79.141.146.81,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d045c45bb0c0004278811,CZ,Null,Lesonice,49.1084,15.7572,360,480,78.156.141.219,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d045845bb0c000427880d,CZ,Null,Bystrice Pod Hostynem,49.3996,17.6742,480,640,77.48.31.70,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d043745bb0c00042787ec,US,FL,Miami,25.7743,-80.1937,1520,2688,74.92.201.146,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d042f45bb0c00042787e5,US,FL,Miami,25.7014,-80.3582,480,704,74.164.25.34,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d042845bb0c00042787df,US,ME,Farmingdale,44.2618,-69.8232,480,640,72.95.127.157,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d042645bb0c00042787de,US,TX,Andrews,32.3046,-102.638,480,640,72.48.231.50,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d03cb45bb0c000427878b,US,Null,,38,-97,480,640,67.53.34.94,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d03ab45bb0c000427876c,US,HI,Koloa,21.9081,-159.476,480,704,66.193.157.18,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d038245bb0c0004278742,CA,Null,Portland,44.7031,-76.1805,600,800,64.118.25.194,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d0af545bb0c0004278e8c,US,AZ,Tucson,32.2338,-110.95,480,640,128.196.100.223,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d093845bb0c0004278cc9,SE,Null,Vilhelmina,64.6167,16.65,800,1280,81.8.160.246,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d091c45bb0c0004278cab,SE,Null,Stor,59.7167,15.1333,576,704,195.34.84.194,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d091245bb0c0004278ca3,US,NY,Rochester,43.0899,-77.6376,480,704,150.160.7.33,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d077c45bb0c0004278b1a,US,CA,Fullerton,33.8768,-117.893,720,1280,137.151.190.130,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d06f145bb0c0004278a96,AT,Null,Ainet,46.8661,12.7014,480,640,87.243.137.233,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d05bc45bb0c000427896a,IS,Null,,65,-18,640,1024,93.95.74.169,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d059d45bb0c000427894a,AT,Null,,47.3333,13.3333,640,1024,91.113.220.122,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d055745bb0c0004278905,JE,Null,Saint Helier,49.1833,-2.1,288,352,87.244.76.134,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d04c245bb0c0004278873,SE,Null,,62,15,576,704,81.8.143.33,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
5b0d0afa45bb0c0004278e90,US,AZ,Tucson,32.2338,-110.95,480,640,128.196.21.175,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
3,US,CA,La Jolla,32.8807,-117.236,480,704,137.110.112.53,80,/axis-cgi/jpg/image.cgi,/axis-cgi/mjpg/video.cgi
