IV_Name,Camera_ID,IV_date,IV_time,File_type,File_size,Minio_link,Dataset,is_processed
5b17e02f811d4a000470c92d_2019-03-31_22-51-20-061917.png,5b17e02f811d4a000470c92d,2019.03.31,22:51:20,png,153828,None,None,0
5b17df05811d4a000470c432_2019-03-31_22-51-16-402412.png,5b17df05811d4a000470c432,2019.03.31,22:51:16,png,74138,None,None,0
5b17f44f41563200049f84eb_2019-03-31_22-51-21-272776.png,5b17f44f41563200049f84eb,2019.03.31,22:51:21,png,39442,None,None,0
5b17df45811d4a000470c54a_2019-03-31_22-51-17-399049.png,5b17df45811d4a000470c54a,2019.03.31,22:51:17,png,101695,None,None,0
5b17ded3811d4a000470c377_2019-03-31_22-51-14-581440.png,5b17ded3811d4a000470c377,2019.03.31,22:51:14,png,75890,None,None,0
5b17f50641563200049f87e9_2019-03-31_22-51-22-286166.png,5b17f50641563200049f87e9,2019.03.31,22:51:22,png,82530,None,None,0
5b17df05811d4a000470c433_2019-03-31_22-51-16-619968.png,5b17df05811d4a000470c433,2019.03.31,22:51:16,png,67617,None,None,0
5b17f80041563200049f9457_2019-03-31_22-51-26-183279.png,5b17f80041563200049f9457,2019.03.31,22:51:26,png,180846,None,None,0
5b17dedc811d4a000470c39c_2019-03-31_22-51-14-799835.png,5b17dedc811d4a000470c39c,2019.03.31,22:51:14,png,75890,None,None,0
5b17f44841563200049f84cc_2019-03-31_22-51-21-053957.png,5b17f44841563200049f84cc,2019.03.31,22:51:21,png,110012,None,None,0
5b17f7f141563200049f9415_2019-03-31_22-51-25-849884.png,5b17f7f141563200049f9415,2019.03.31,22:51:25,png,20683,None,None,0
5b17f69441563200049f8e88_2019-03-31_22-51-24-095817.png,5b17f69441563200049f8e88,2019.03.31,22:51:24,png,104516,None,None,0
5b17e06e811d4a000470c9ec_2019-03-31_22-51-20-392477.png,5b17e06e811d4a000470c9ec,2019.03.31,22:51:20,png,72311,None,None,0
5b17f78e41563200049f927f_2019-03-31_22-51-25-063395.png,5b17f78e41563200049f927f,2019.03.31,22:51:25,png,87245,None,None,0
5b17f80041563200049f9458_2019-03-31_22-51-27-402432.png,5b17f80041563200049f9458,2019.03.31,22:51:27,png,34716,None,None,0
